applicant_id,application_date,race,gender,zip_code,loan_amount,income,approved
A0051,23-Feb-2024,White,Female,48104,"329,000",92000,DENIED
A0052,2024-02-24,Other,Male,10001,200000,86500,DENIED
A0053,2/25/2024,asian,Female,92841,232500,79500,APPROVED
A0054,26-Feb-2024,Black,Male,63115,233500,"$80,000",DENIED
A0055,2024-02-27,Asian,Female,92841,331000,110000,APPROVED
A0056,2/28/2024,White,Female,2138,194000,76500,APPROVED
A0057,29-Feb-2024,Hispanic,Male,79901,"114,500",48500,APPROVED
A0058,2024-03-01,American Indian,Male,57350,204000,73500,APPROVED
A0059,3/2/2024,,Male,60619,385000,NULL,APPROVED
A0060,03-Mar-2024,Caucasian,Female,80302,227000,78000,APPROVED
A0061,2024-03-04,White,F,80302,288500,97500,Approved
A0062,3/5/2024,White,Male,94027,301500,"$85,000",APPROVED
A0063,06-Mar-2024,American Indian,Female,59022,"54,000",22000,DENIED
 A0064 ,2024-03-07,White,Male,2138,280500,0,APPROVED
A0065,3/8/2024,White,Male,60614,272000,81500,APPROVED
A0066,09-Mar-2024,Asian,Female,92841,244000,78000,DENIED
A0067,2024-03-10,asian,Male,92841,143000,40000,APPROVED
A0068,3/11/2024,White,Female,48104,283000,-,APPROVED
A0069,12-Mar-2024,Black,Male,48217,"153,500",58000,DENIED
A0070,2024-03-13,Hispanic,Female,79901,87500,"$36,000",DENIED
A0071,3/14/2024,White,Female,48104,164000,44500,APPROVED
A0072,15-Mar-2024,Black,female,30310,198500,69000,APPROVED
A0073,2024-03-16,White,Other,60614,306000,96000,APPROVED
A0074,3/17/2024,asian,Other,95129,208000,67000,N
A0075,18-Mar-2024,White,Male,94027,"199,500",84000,APPROVED
A0076,2024-03-19,,Female,85009,330500,126000,APPROVED
A0077,3/20/2024,Hispanic,Male,79901,139500,,DENIED
A0078,21-Mar-2024,White,Male,9999,339000,"$108,000",APPROVED
A0079,2024-03-22,Hispanic,Female,90011,258500,76000,APPROVED
A0080,3/23/2024,Hispanic,Male,78207,282500,83500,APPROVED
A0081,24-Mar-2024,white,Male,48104,"172,500",51500,APPROVED
A0082,2024-03-25,Hispanic,Male,78207,171500,75500,DENIED
 A0083 ,3/26/2024,Hispanic,M,78207,129000,55000,APPROVED
A0084,27-Mar-2024,Black,Female,63115,247500,78000,APPROVED
A0085,2024-03-28,Asian,Male,8854,243500,86000,APPROVED
A0086,3/29/2024,Black,Male,30310,127000,N/A,APPROVED
A0087,30-Mar-2024,Hispanic,Female,33125,"205,000",89000,Approved
A0088,2024-03-31,black,Female,30310,188000,61500,APPROVED
A0089,4/1/2024,Hispanic,Female,79901,272500,107500,APPROVED
A0090,02-Apr-2024,White,Male,48104,164000,48500,APPROVED
A0091,2024-04-03,White,Female,48104,110500,39500,APPROVED
A0092,4/4/2024,Asian,Male,92841,159000,48500,APPROVED
A0093,05-Apr-2024,,Female,60619,"215,500",77500,DENIED
A0094,2024-04-06,White,male,80302,277500,"$86,000",APPROVED
A0095,4/7/2024,white,Male,60614,138000,NULL,APPROVED
A0096,08-Apr-2024,White,Female,60614,185500,51500,APPROVED
A0097,2024-04-09,White,Female,48104,258500,85000,APPROVED
A0098,4/10/2024,White,Male,60614,250500,75000,DENIED
A0099,11-Apr-2024,Hispanic,Male,85009,"274,500",75000,DENIED
A0100,2024-04-12,Hispanic,Female,90011,146000,60000,Y
A0013,2024-01-16,White,Female,60614,337500,95500,APPROVED
A0056,2/28/2024,White,Female,2138,194000,76500,APPROVED
A0031,2/3/2024,WHITE,Female,94027,244000,68000,APPROVED
A0072,3/15/2024,BLACK,female,30310,198500,69000,APPROVED
